dataset,model,optimizer,learning_rate,batch_size,epochs_ran,best_epoch,trainable_params,val_loss,val_accuracy,val_f1
moons,single_layer,sgd,0.01,16,55,30,3,0.5937736120774688,0.475,0.6440677921344443
moons,single_layer,sgd,0.03,32,56,31,3,0.5938461146464492,0.475,0.6440677921344443
moons,single_layer,adam_like,0.005,16,41,16,3,0.5938912920267738,0.475,0.6440677921344443
moons,single_layer,adam_like,0.01,32,35,10,3,0.594050057894035,0.475,0.6440677921344443
moons,hidden_layer_perceptron,sgd,0.03,16,107,82,49,0.15030656635480116,0.95,0.9459459406939372
moons,hidden_layer_perceptron,sgd,0.05,16,83,58,49,0.15937106923820768,0.95,0.9459459406939372
moons,hidden_layer_perceptron,sgd,0.03,32,173,148,49,0.16704424371075133,0.95,0.9459459406939372
moons,hidden_layer_perceptron,adam_like,0.005,16,119,94,49,0.116270280053135,0.9625,0.9589041043347721
moons,hidden_layer_perceptron,adam_like,0.01,16,120,95,49,0.17266098496897064,0.95,0.9459459406939372
moons,hidden_layer_perceptron,adam_like,0.005,32,197,172,49,0.1238344453374614,0.95,0.9459459406939372
classification5d,single_layer,sgd,0.01,16,200,175,6,0.5403568909247941,0.475,0.6440677920252801
classification5d,single_layer,sgd,0.03,16,220,219,6,0.5366530561601343,0.475,0.6440677920252801
classification5d,single_layer,sgd,0.02,32,220,220,6,0.5392177191966618,0.475,0.6440677920252801
classification5d,single_layer,adam_like,0.005,16,142,117,6,0.5372836503170688,0.475,0.6440677920252801
classification5d,single_layer,adam_like,0.01,32,108,83,6,0.5362222358761424,0.475,0.6440677920252801
classification5d,hidden_layer_perceptron,sgd,0.02,16,67,42,85,0.1820463909379861,0.95,0.9473684155540166
classification5d,hidden_layer_perceptron,sgd,0.03,16,38,13,85,0.19795881410255053,0.95,0.9473684155540166
classification5d,hidden_layer_perceptron,sgd,0.02,32,63,38,85,0.18232524255686128,0.95,0.9473684155540166
classification5d,hidden_layer_perceptron,adam_like,0.005,16,53,28,85,0.18715862166378988,0.95,0.9473684155540166
classification5d,hidden_layer_perceptron,adam_like,0.008,16,48,23,85,0.18654710472131902,0.95,0.9473684155540166
classification5d,hidden_layer_perceptron,adam_like,0.005,32,64,39,85,0.18155158982570074,0.95,0.9473684155540166
